,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,grade,sqft_above,sqft_basement,yr_renovated,sqft_living15
129,430000,4,2,2070,2,0,0,7,2070,0,0,1970
130,212000,3,1,1060,1,0,0,7,1060,0,0,1420
131,660500,4,2,2010,1,0,0,8,1440,570,0,2060
132,784000,3,3,3950,1,0,0,9,2460,1490,0,2480
133,453246,3,2,2010,2,0,0,8,1390,620,0,1690
134,675000,4,3,2140,3,0,0,9,2140,0,0,1540
135,199000,3,1,1320,1,0,0,7,1320,0,0,1550
136,220000,4,1,2020,1,0,0,7,1010,1010,0,1750
137,452000,4,2,2590,1,0,0,8,1340,1250,0,1550
138,382500,2,1,1190,1,0,0,6,1190,0,0,1060
139,519950,3,2,1170,3,0,0,8,1170,0,0,1350
140,665000,2,1,1110,1,0,0,7,1110,0,0,1170
141,527700,5,2,2820,1,0,0,8,1550,1270,0,2820
142,205000,3,1,1610,1,0,0,7,1010,600,0,1610
143,420000,3,1,1060,1,0,0,7,940,120,0,1560
144,500000,4,2,2030,1,0,0,8,1380,650,0,2230
145,921500,4,2,3670,2,0,0,9,3670,0,0,2840
146,890000,4,1,2550,2,0,0,8,2370,180,0,2200
147,430000,2,2,2420,2,0,0,7,2420,0,0,1940
148,258000,5,2,2260,1,0,0,8,1130,1130,0,1360
149,511000,3,1,1430,1,0,0,7,980,450,0,1450
150,532170,3,2,1360,2,0,0,8,1360,0,0,1500
151,560000,3,1,1110,1,0,0,7,1110,0,0,1420
152,282950,3,1,1250,1,0,0,7,1250,0,0,1680
153,2250000,4,3,5180,2,0,3,12,3540,1640,0,3160
154,350000,1,1,700,1,0,0,7,700,0,0,1010
155,215000,3,1,1180,1,0,0,7,1180,0,0,1190
156,650000,5,3,3960,2,0,0,9,2500,1460,0,2640
157,320000,4,2,2640,1,0,0,8,1620,1020,0,1980
158,247000,3,2,1270,1,0,0,7,1270,0,2013,1160
159,320000,4,1,1760,1,0,0,8,1760,0,0,1730
160,255000,5,2,2060,1,0,0,7,1030,1030,0,1010
161,438000,3,1,1780,1,0,0,7,1780,0,0,1200
162,900000,3,2,3400,2,0,0,10,3400,0,0,3400
163,441000,3,2,1910,1,0,0,7,1160,750,0,1710
164,420000,3,2,2020,1,0,0,7,1010,1010,0,2110
165,370000,3,1,1580,1,0,0,7,1180,400,0,1640
166,269950,2,1,1340,1,0,0,5,700,640,0,1830
167,807100,4,2,2680,2,0,0,9,2680,0,0,2920
168,653000,3,2,2680,1,0,0,8,1610,1070,0,2480
169,371500,3,2,1370,1,0,0,7,1370,0,0,1770
170,284000,3,1,1560,1,0,0,7,1560,0,0,1070
171,272000,3,1,2160,1,0,0,7,1670,490,0,1930
172,313000,3,1,1340,1,0,0,7,1340,0,0,1480
173,917500,4,2,3880,2,0,0,10,2570,1310,0,3740
174,673000,4,2,2590,2,0,0,8,2590,0,0,2260
175,425000,3,2,1120,2,0,0,8,820,300,0,1590
176,399950,5,2,1970,1,0,0,7,1320,650,0,1280
177,385000,3,1,1220,1,0,0,6,1220,0,0,1200
178,269950,3,1,1950,1,0,2,7,1320,630,0,1950
179,330000,2,1,1350,1,0,0,7,1060,290,0,1540
180,260000,3,2,1670,2,0,0,7,1670,0,0,1670
181,470000,4,3,2380,1,0,0,7,1680,700,0,1410
182,589000,4,3,2440,2,0,0,7,2440,0,0,2290
183,163500,2,1,1050,2,0,0,7,1050,0,0,1050
184,835000,4,2,3130,2,0,0,9,2140,990,0,2260
185,1095000,5,3,4090,1,0,2,10,2090,2000,0,2540
186,269000,4,1,1490,1,0,0,8,1100,390,0,2190
187,560000,3,2,1900,2,0,0,8,1900,0,0,2030
188,615000,4,1,1330,1,0,0,6,1330,0,0,1330
189,585188,3,2,2230,1,0,0,8,1430,800,0,2230
190,305000,3,1,1650,1,0,0,7,1220,430,0,1540
191,166950,3,1,1190,1,0,0,6,1190,0,0,1230
192,799000,3,2,2140,1,0,0,8,2140,0,0,2680
193,400000,3,2,2180,1,0,0,7,1420,760,0,1900
194,230000,3,1,1060,1,0,0,7,1060,0,0,1570
195,256883,3,2,1690,2,0,0,8,1690,0,0,2550
196,423000,4,2,1970,1,0,0,7,1130,840,0,1500
197,465000,3,2,2150,2,0,0,8,2150,0,0,1750
198,440000,3,2,1910,2,0,0,7,1910,0,0,2330
199,385000,3,1,1350,1,0,0,7,1350,0,0,1560
200,210000,3,1,860,1,0,0,6,860,0,0,1300
201,297000,3,2,1940,2,0,0,8,1940,0,0,2030
202,470000,3,1,1010,1,0,0,7,1010,0,0,1680
203,226500,3,1,1300,1,0,0,7,900,400,0,1430
204,274250,3,1,910,1,0,0,6,910,0,0,1400
205,840000,4,1,2480,1,0,0,9,1630,850,0,2770
206,677900,3,2,2440,2,0,0,8,2440,0,0,2750
207,425000,3,1,1010,1,0,0,7,1010,0,0,1290
208,180250,2,0,900,1,0,0,6,900,0,0,1250
209,464000,6,3,2300,2,0,0,7,1600,700,1994,1560
210,320000,4,2,1550,2,0,0,8,1550,0,0,1630
211,625504,3,2,1270,2,0,0,8,1060,210,0,1160
212,592500,4,2,2240,1,0,0,9,2240,0,0,2520
213,465000,3,2,2714,2,0,0,9,2714,0,0,2590
214,477000,4,2,1720,2,0,0,8,1720,0,0,2130
215,280000,2,1,850,1,0,0,6,850,0,0,1100
216,1505000,5,3,3300,1,0,3,9,1870,1430,1991,3836
217,445838,3,2,2250,2,0,0,8,2250,0,0,1320
218,1072000,2,2,3900,1,0,3,8,1950,1950,0,2580
219,467000,2,1,1320,1,0,0,8,1320,0,0,2120
220,686000,4,2,2760,2,0,0,10,2760,0,0,3070
221,279950,3,2,1750,1,0,0,7,1350,400,0,1900
222,527000,4,2,2330,2,0,0,8,2330,0,0,1910
223,325000,3,2,2220,1,0,0,8,1780,440,0,2080
224,328000,3,2,2020,2,0,0,7,2020,0,0,2020
225,390000,3,2,1250,1,0,0,7,1250,0,0,1280
226,479950,2,2,1510,1,0,0,8,1510,0,0,1640
227,264950,4,2,1720,1,0,0,7,1120,600,0,1510
228,235000,3,1,1430,1,0,0,7,980,450,0,1960
229,516500,3,2,1480,2,0,0,7,1480,0,0,2250
230,655000,2,1,1450,2,1,4,7,1230,220,1978,2030
231,500000,4,2,2280,1,0,0,7,2280,0,0,2280
232,315000,6,2,2940,1,0,0,8,1780,1160,0,2120
233,213000,2,1,1000,1,0,0,6,1000,0,0,1150
234,475000,3,1,2480,1,0,0,7,1620,860,0,2090
235,1025000,5,4,3760,2,0,0,10,3760,0,0,3430
236,416000,3,2,2220,1,0,0,7,1640,580,0,2070
237,410000,4,1,1970,1,0,0,7,1670,300,2005,1510
238,800000,3,3,3830,2,0,0,10,3530,300,0,2920
239,472000,6,2,4410,1,0,2,9,2350,2060,0,2600
240,225000,3,1,1430,1,0,0,7,1430,0,0,1190
241,210000,2,1,830,1,0,0,6,830,0,0,830
242,455000,2,1,1430,1,0,0,7,1430,0,0,1450
243,225000,3,1,1300,1,0,0,6,1300,0,0,1260
244,480000,2,1,1030,1,0,2,7,790,240,0,1390
245,363000,3,2,2740,2,0,0,9,2740,0,0,2570
246,2400000,4,2,3650,1,1,4,9,1830,1820,0,3120
247,181000,2,1,720,1,0,0,6,720,0,0,1150
248,250000,4,2,2010,1,0,0,7,2010,0,0,2010
249,481000,3,1,1560,1,0,0,6,770,790,0,1390
250,260000,3,2,1810,1,0,0,7,1240,570,0,1750
251,455000,4,2,3360,2,0,0,9,3360,0,0,3060
252,415000,3,2,1510,2,0,0,8,1510,0,0,1730
253,349500,3,1,1400,1,0,0,7,800,600,0,1620
254,245000,3,2,1730,2,0,0,7,1730,0,0,1630
255,592500,2,2,1420,1,0,2,7,1420,0,0,1420
256,385000,4,1,2360,1,0,0,7,1180,1180,0,1910
257,315000,3,1,1580,1,0,0,7,1200,380,0,1550
258,255000,3,1,1230,1,0,0,7,1230,0,0,1380
259,693000,4,2,2460,2,0,0,8,2460,0,0,2990
260,780000,3,1,1660,1,0,0,8,1460,200,0,1660
261,237000,3,1,1270,1,0,0,7,1270,0,0,1600
262,525000,3,2,2100,2,0,0,10,1320,780,0,2380
263,425000,2,1,770,1,0,0,5,770,0,0,1330
264,369900,1,0,760,1,1,4,5,760,0,0,1230
265,290000,4,2,1700,2,0,0,7,1700,0,0,1950
266,285000,3,1,1120,1,0,0,7,1120,0,0,1130
267,415000,2,1,1070,1,0,0,7,1070,0,0,1320
268,272500,3,2,2070,1,0,0,8,1420,650,0,2070
269,2900000,4,3,5050,1,0,2,11,4750,300,2008,3890
270,1365000,4,4,5310,2,0,0,11,5310,0,0,4180
271,436000,2,1,1040,1,0,0,7,1040,0,0,1440
272,210000,3,1,1700,1,0,0,7,1700,0,0,1350
273,236000,3,1,1300,1,0,0,7,1300,0,0,1320
274,331000,3,1,1080,1,0,0,7,580,500,2003,1440
275,365000,3,2,2653,2,0,0,8,2653,0,0,2653
276,450000,3,2,2290,1,0,0,8,2290,0,0,1660
277,770000,4,2,3820,2,0,0,9,2850,970,0,1860
278,455000,4,2,2210,1,0,0,8,2210,0,0,2670
279,405000,3,1,2390,1,0,0,6,1240,1150,0,2020
280,304900,4,1,2600,1,0,0,7,1610,990,0,1720
281,170000,2,1,860,1,0,0,6,860,0,0,1650
282,2050000,5,3,3830,2,0,1,9,2630,1200,1994,3050
283,780000,4,2,3500,2,0,0,9,3500,0,0,3920
284,330000,3,3,2420,1,0,0,8,1740,680,0,2570
285,370000,4,2,2720,2,0,0,9,2720,0,0,2410
286,467000,5,2,2500,1,0,0,7,1850,650,0,2300
287,405000,3,1,1670,1,0,0,7,1140,530,0,1670
288,675000,5,2,2900,1,0,0,8,1450,1450,0,2310
289,500000,2,1,1640,1,0,0,7,1140,500,0,1520
290,389999,4,2,1890,2,0,0,7,1890,0,0,2410
291,630000,4,1,2950,1,0,2,8,1780,1170,0,2120
292,360000,4,2,2160,2,0,0,9,2160,0,0,2280
293,580000,4,3,3280,2,0,0,8,2270,1010,0,2320
294,550000,3,2,1970,2,0,3,8,1270,700,0,2390
295,879000,4,2,3360,2,0,0,10,3360,0,0,3150
296,265000,3,2,1320,1,0,0,7,1320,0,0,1740
297,446500,3,2,2650,2,0,0,8,2650,0,0,2400
298,404000,3,1,2030,1,0,0,7,1330,700,0,2140
299,267500,3,1,1590,1,0,2,7,1090,500,0,1630
300,3075000,4,5,4550,1,1,4,10,2600,1950,0,4550
301,335000,3,2,2440,2,0,0,8,2440,0,0,2510
302,576000,3,2,1940,1,0,0,7,970,970,0,2190
303,208633,3,2,2040,2,0,0,8,2040,0,0,2370
304,315000,3,2,2200,1,0,0,7,1120,1080,0,1460
305,725000,3,1,1920,1,0,0,8,960,960,0,1740
306,550000,4,2,1800,1,0,0,8,1400,400,0,1800
307,610750,4,2,2180,2,0,0,8,2180,0,0,2250
308,550700,2,1,1010,1,0,0,6,1010,0,0,1460
309,665000,4,2,3320,2,0,0,8,2220,1100,0,2720
310,834000,4,2,2370,1,0,2,8,1980,390,0,2440
311,201000,5,1,1660,1,0,0,6,1660,0,0,1660
312,2384000,5,2,3650,2,0,4,10,3370,280,0,2880
313,1384000,4,3,4290,1,0,3,11,2690,1600,0,3860
314,1400000,4,3,4290,1,0,3,11,2690,1600,0,3860
315,305000,4,2,1950,1,0,0,8,1350,600,0,2150
316,487000,3,2,2590,1,0,0,8,1720,870,0,1570
317,390000,3,2,1930,1,0,0,8,1930,0,0,2350
318,548000,2,1,1470,1,0,0,7,1170,300,0,1570
319,268750,4,1,800,1,0,0,6,800,0,0,1310
320,819900,5,2,3150,2,0,0,9,3150,0,0,1560
321,520000,3,2,2030,2,0,0,8,2030,0,0,2660
322,230000,3,2,1450,1,0,0,7,1450,0,0,1520
323,240000,3,1,1510,1,0,0,7,1510,0,0,1510
324,232000,2,1,1240,1,0,0,6,960,280,1984,1820
325,240500,2,1,1240,1,0,0,6,960,280,1984,1820
326,274975,3,2,3030,2,0,0,9,3030,0,0,3080
327,740000,4,2,2050,1,0,0,9,2050,0,0,2320
328,186375,3,1,1000,1,0,0,7,1000,0,0,1150
329,790000,3,2,2370,1,0,0,9,1590,780,0,2500
330,880000,4,3,2800,2,0,0,9,1890,910,2002,2370
331,279000,6,1,2240,2,0,0,7,2240,0,0,1590
332,295000,3,2,1810,1,0,2,8,1810,0,0,1910
333,640000,2,1,1070,1,0,0,7,1070,0,0,1710
334,940000,4,2,2490,2,0,0,9,2490,0,0,2770
335,260000,4,2,1960,2,0,0,7,1960,0,0,1800
336,559900,3,2,2930,1,0,0,9,1860,1070,0,2580
337,791500,4,2,1510,1,0,0,7,1510,0,0,1820
338,265000,3,1,1420,1,0,0,7,1420,0,0,1740
339,245000,3,1,1740,1,0,0,7,1740,0,0,880
340,485000,4,1,2560,2,0,0,7,2560,0,0,2560
341,684000,4,3,3040,2,0,0,9,2420,620,0,3470
342,425000,3,1,2500,1,0,0,8,1300,1200,0,1580
343,309600,4,1,1275,1,0,0,6,1275,0,0,1660
344,552250,4,2,2580,2,0,0,8,2580,0,0,2380
345,165000,4,1,1000,1,0,0,6,1000,0,0,1020
346,239900,4,1,1000,1,0,0,6,1000,0,0,1020
347,320000,2,1,1070,1,0,0,6,1070,0,0,1360
348,206600,3,2,1390,1,0,0,7,1390,0,0,1720
349,387000,4,1,2500,1,0,0,7,1250,1250,0,2040
350,299000,1,0,560,1,0,0,4,560,0,0,1300
351,855000,4,2,2270,2,0,0,9,2270,0,0,2610
352,315000,3,1,1900,1,0,0,7,1300,600,0,1940
353,437500,2,1,990,1,0,2,7,790,200,0,1930
354,252000,4,1,1550,1,0,0,7,1050,500,0,1640
355,375000,4,1,2200,1,0,0,7,1100,1100,0,1600
356,300000,4,2,1910,2,0,0,7,1910,0,0,2010
357,420000,4,1,1750,1,0,0,7,1750,0,0,1750
358,900000,3,1,1330,1,0,0,7,1330,0,1954,1340
359,679900,3,2,2440,2,0,2,9,1980,460,0,1520
360,463000,3,2,1640,2,0,0,7,1640,0,0,1580
361,380000,5,2,2760,2,0,0,9,2760,0,0,2470
362,329500,4,2,1820,2,0,0,7,1820,0,0,1820
363,604950,3,2,2110,1,0,0,8,1340,770,0,2040
364,795000,5,2,3040,1,0,2,8,1640,1400,0,2920
365,465000,3,2,1840,2,0,0,7,1840,0,0,1380
366,673000,4,2,2990,2,0,0,9,2990,0,0,2140
367,810000,4,2,3520,2,0,0,10,3520,0,0,3400
368,785000,4,2,2440,1,0,0,8,1910,530,0,2770
369,338000,4,3,2090,1,0,0,7,1370,720,0,1810
370,280000,3,2,1430,2,0,0,7,1430,0,0,1430
371,315000,4,2,2180,1,0,0,7,1100,1080,0,1810
372,530000,4,2,2180,1,0,0,7,1100,1080,0,1810
373,380000,5,3,3450,2,0,0,9,3450,0,0,2860
374,297000,3,2,1450,2,0,0,7,1450,0,0,1650
375,730000,4,2,3230,2,0,0,10,3230,0,0,3480
376,450000,3,1,1640,1,0,0,7,1110,530,0,1770
377,275000,3,3,1590,1,0,0,7,1060,530,0,1680
378,595000,4,2,2020,2,0,0,7,2020,0,0,1910
379,435000,3,1,1300,1,0,0,7,1300,0,2014,1590
380,270000,2,1,1380,1,0,0,6,1380,0,0,3130
381,950000,3,3,4040,2,0,0,10,3030,1010,0,3360
382,389000,4,2,2130,2,0,0,7,2130,0,0,2300
383,560000,4,2,2550,1,0,0,8,1580,970,0,2420
384,1350000,5,3,4800,2,0,2,11,3480,1320,0,4050
385,799000,4,2,2510,2,0,0,8,2510,0,0,2450
386,365500,3,2,1410,1,0,0,7,1410,0,0,1410
387,252350,3,2,1650,1,0,0,7,1160,490,0,1710
388,403950,4,2,2120,2,0,0,8,2120,0,0,1880
389,385000,4,1,2040,1,0,0,7,1380,660,0,1610
390,345000,4,1,1550,1,0,0,7,1550,0,0,1450
391,490000,3,2,1980,2,0,0,9,1980,0,0,1950
392,330000,3,2,1600,2,0,0,8,1600,0,0,1790
393,927000,4,2,3300,2,0,0,8,3300,0,0,3180
394,1118000,4,2,3840,2,0,1,10,3840,0,0,3600
395,330000,2,1,1220,1,0,0,7,1220,0,0,2000
396,530000,5,2,2720,1,0,0,7,1500,1220,0,2110
397,365000,4,2,1940,1,0,0,8,1940,0,0,2000
398,378750,3,2,2160,1,0,0,7,1260,900,2011,1060
399,269900,4,1,1530,1,0,0,7,1530,0,0,1390
400,557000,3,3,1710,2,0,0,8,1290,420,0,1630
401,360000,4,1,3730,1,0,0,7,2150,1580,0,1880
402,352000,2,1,940,1,0,0,7,940,0,0,1560
403,437000,3,2,1750,2,0,0,8,1750,0,0,2430
404,322500,4,2,1820,2,0,0,7,1820,0,0,1820
405,650000,3,3,1510,2,0,0,9,1330,180,0,1510
406,450000,3,2,1290,3,0,0,8,1290,0,0,1290
407,278500,3,2,1570,1,0,0,7,1570,0,0,1570
408,364950,4,2,1930,2,0,0,8,1930,0,0,2090
409,840000,4,3,2840,1,0,4,10,2840,0,0,3180
410,268000,3,2,1550,2,0,0,7,1550,0,0,1550
411,517534,2,1,833,1,0,0,5,833,0,0,1380
412,632925,3,2,2990,2,0,0,8,2990,0,0,2990
413,577500,3,2,2000,2,0,0,9,2000,0,0,2450
414,339000,4,1,2390,1,0,2,7,2390,0,0,2850
415,570000,3,1,2910,1,0,0,7,1530,1380,0,2520
416,563500,4,1,2085,1,0,0,7,1610,475,0,2690
417,423000,4,2,2200,1,0,0,7,1290,910,0,1910
418,355000,3,2,1860,2,0,0,8,1860,0,0,2320
419,1550000,5,4,6070,2,0,0,12,6070,0,0,4680
420,482000,2,1,950,1,0,0,7,950,0,0,1320
421,625000,3,1,1600,1,0,0,7,1600,0,0,1580
422,538000,3,2,2250,2,0,0,8,2250,0,0,2360
423,380000,3,2,2280,2,0,0,8,2280,0,0,2310
424,375000,2,1,940,1,0,0,7,940,0,0,1300
425,245000,3,2,1530,1,0,0,7,1030,500,0,1850
426,310000,5,1,2190,1,0,0,7,2190,0,1974,1620
427,1300000,3,2,2350,1,0,0,8,1770,580,0,3530
428,397000,4,2,1440,1,0,0,7,1200,240,0,1460
429,365000,3,2,2200,2,0,0,8,2200,0,0,2310
430,328500,4,3,2290,2,0,0,9,2290,0,0,2290
431,988000,4,3,4040,2,0,0,11,4040,0,0,3930
432,1000000,4,2,2610,1,0,0,8,1920,690,0,1810
433,237000,3,2,1490,2,0,0,7,1490,0,0,1490
434,525000,4,2,2450,2,0,0,8,2450,0,0,2300
435,749000,4,2,1710,1,0,0,9,1440,270,2014,2140
436,722500,5,2,4870,2,0,0,10,3470,1400,0,3180
437,843000,3,2,3130,2,0,0,10,3130,0,0,2860
438,438000,2,2,1270,3,0,0,8,1270,0,0,1610
439,578000,3,1,2120,1,0,2,8,1540,580,0,2460
440,227950,3,1,1670,1,0,0,7,1670,0,0,2077
441,196000,3,2,2070,2,0,0,7,2070,0,0,1890
442,641000,2,1,1420,1,0,0,8,1070,350,0,2400
443,350000,3,1,1250,1,0,0,6,1250,0,0,1930
444,205000,3,1,940,1,0,0,7,940,0,0,1150
445,400000,3,1,1920,1,0,0,7,1920,0,0,1920
446,1030000,3,2,3545,1,0,0,10,2610,935,0,3630
447,505000,3,2,1260,1,0,0,7,1260,0,0,1510
448,475000,5,2,2340,1,0,0,7,1300,1040,0,1930
449,520000,3,2,2590,1,0,0,8,1440,1150,0,2580
450,1450000,3,4,3970,2,0,2,10,3260,710,1999,2610
451,333500,3,1,1220,1,0,0,7,1220,0,0,1630
452,232000,3,1,1400,1,0,0,6,1400,0,0,1230
453,691100,3,2,2360,1,0,0,8,1710,650,0,2120
454,811000,3,1,1870,1,0,0,8,1870,0,0,1900
455,551000,3,2,2830,2,0,0,9,2830,0,0,2500
456,496500,3,2,2260,2,0,0,8,2260,0,0,2350
457,705000,3,3,1970,2,1,3,9,1770,200,0,2280
458,578000,4,2,3140,1,0,2,9,1770,1370,0,2460
459,255000,3,1,1240,1,0,0,7,1240,0,0,1490
460,1050000,4,3,3450,2,0,0,10,3450,0,0,3220
